No,R,I,A,S,E,C,Group
499,0.143,0.08,0.131,0.075,0.035,0.04,1
500,0.143,0.283,0.583,0.551,0.379,0.35,15
501,0.143,0.069,0.159,0.319,0.173,0.077,16
502,0.143,0.186,0.264,0.421,0.345,0.245,35
503,0.143,0.13,0.422,0.419,0.275,0.18,35
504,0.143,0.426,0.351,0.511,0.552,0.626,5
505,0.143,0.304,0.72,0.616,0.6,0.544,10
506,0.143,0.233,0.221,0.271,0.443,0.473,13
507,0.143,0.181,0.356,0.296,0.214,0.181,16
508,0.144,0.376,0.472,0.594,0.769,0.517,48
509,0.144,0.097,0.47,0.335,0.326,0.176,35
510,0.144,0.103,0.839,0.632,0.196,0.152,39
511,0.144,0.145,0.524,0.464,0.28,0.268,35
512,0.145,0.199,0.176,0.282,0.135,0.126,16
513,0.145,0.226,0.191,0.289,0.322,0.13,16
514,0.145,0.355,0.429,0.452,0.631,0.59,5
515,0.145,0.24,0.764,0.359,0.521,0.39,53
516,0.145,0.114,0.344,0.39,0.251,0.187,35
517,0.145,0.242,0.286,0.454,0.313,0.42,15
518,0.145,0.62,0.286,0.552,0.607,0.674,69
519,0.146,0.113,0.373,0.442,0.213,0.1,35
520,0.146,0.261,0.376,0.712,0.591,0.524,54
521,0.146,0.772,0.467,0.555,0.664,0.668,63
522,0.146,0.19,0.334,0.24,0.164,0.2,16
523,0.146,0.11,0.406,0.416,0.349,0.095,35
524,0.146,0.617,0.28,0.551,0.536,0.47,5
525,0.146,0.128,0.411,0.381,0.108,0.109,4
526,0.146,0.159,0.143,0.136,0.202,0.267,16
527,0.146,0.161,0.529,0.538,0.706,0.692,27
528,0.146,0.074,0.268,0.13,0.056,0.089,1
529,0.147,0.707,0.401,0.498,0.631,0.302,45
530,0.147,0.071,0.036,0.169,0.049,0.187,1
531,0.147,0.321,0.198,0.505,0.631,0.763,3
532,0.147,0.34,0.544,0.68,0.642,0.586,54
533,0.147,0.329,0.275,0.378,0.16,0.166,16
534,0.147,0.136,0.354,0.322,0.208,0.219,16
535,0.147,0.066,0.095,0.11,0.165,0.075,1
536,0.148,0.262,0.204,0.33,0.219,0.326,29
537,0.148,0.44,0.386,0.312,0.606,0.422,11
538,0.148,0.311,0.336,0.183,0.326,0.294,29
539,0.148,0.307,0.318,0.412,0.297,0.201,35
540,0.148,0.276,0.505,0.709,0.544,0.247,21
541,0.148,0.167,0.688,0.596,0.548,0.545,10
542,0.148,0.15,0.599,0.274,0.227,0.268,4
543,0.148,0.221,0.633,0.663,0.489,0.297,41
544,0.148,0.099,0.466,0.467,0.271,0.186,35
545,0.148,0.179,0.239,0.188,0.139,0.176,16
546,0.148,0.131,0.351,0.208,0.195,0.19,16
547,0.148,0.26,0.346,0.603,0.695,0.795,3
548,0.148,0.117,0.616,0.438,0.29,0.112,4
549,0.148,0.194,0.293,0.257,0.268,0.24,16
550,0.149,0.268,0.775,0.388,0.421,0.501,53
551,0.149,0.202,0.314,0.149,0.336,0.342,29
552,0.149,0.138,0.491,0.258,0.168,0.145,4
553,0.149,0.217,0.327,0.644,0.486,0.609,54
554,0.149,0.438,0.553,0.6,0.251,0.353,15
555,0.149,0.331,0.547,0.885,0.666,0.947,22
556,0.149,0.354,0.481,0.581,0.754,0.724,3
557,0.149,0.413,0.298,0.396,0.415,0.464,20
558,0.149,0.214,0.487,0.365,0.196,0.141,4
559,0.15,0.075,0.136,0.034,0.05,0.079,1
560,0.15,0.282,0.297,0.313,0.297,0.246,29
561,0.15,0.592,0.302,0.731,0.725,0.598,48
562,0.15,0.67,0.597,0.641,0.662,0.515,33
563,0.15,0.555,0.567,0.435,0.296,0.18,46
564,0.15,0.335,0.407,0.257,0.07,0.091,4
565,0.15,0.196,0.387,0.457,0.264,0.201,35
566,0.15,0.195,0.269,0.489,0.21,0.162,35
567,0.15,0.138,0.114,0.145,0.146,0.154,1
568,0.15,0.124,0.234,0.257,0.158,0.199,16
569,0.15,0.356,0.539,0.615,0.533,0.712,54
570,0.15,0.048,0.233,0.073,0.055,0.044,1
571,0.151,0.179,0.481,0.57,0.176,0.175,35
572,0.151,0.134,0.756,0.251,0.488,0.599,53
573,0.151,0.152,0.215,0.149,0.099,0.125,1
574,0.151,0.248,0.41,0.546,0.299,0.225,35
575,0.151,0.17,0.148,0.128,0.058,0.054,1
576,0.151,0.177,0.39,0.48,0.308,0.321,35
577,0.151,0.218,0.563,0.494,0.327,0.347,15
578,0.151,0.426,0.302,0.217,0.343,0.308,29
579,0.151,0.202,0.52,0.336,0.175,0.102,4
580,0.151,0.187,0.387,0.311,0.554,0.568,6
581,0.151,0.247,0.287,0.65,0.609,0.557,54
582,0.151,0.347,0.203,0.307,0.71,0.682,3
583,0.151,0.106,0.21,0.197,0.107,0.17,1
584,0.151,0.13,0.446,0.331,0.259,0.174,4
585,0.151,0.305,0.154,0.217,0.154,0.408,30
586,0.151,0.282,0.224,0.193,0.438,0.194,13
587,0.152,0.168,0.783,0.248,0.226,0.294,67
588,0.152,0.514,0.162,0.145,0.361,0.268,46
589,0.152,0.17,0.212,0.419,0.367,0.412,13
590,0.152,0.535,0.23,0.063,0.219,0.142,9
591,0.152,0.519,0.522,0.63,0.356,0.311,24
592,0.152,0.104,0.428,0.107,0.2,0.061,16
593,0.152,0.159,0.489,0.41,0.234,0.241,35
594,0.153,0.168,0.287,0.395,0.241,0.294,35
595,0.153,0.454,0.583,0.358,0.359,0.522,20
596,0.153,0.303,0.63,0.691,0.461,0.329,41
597,0.153,0.077,0.305,0.321,0.184,0.076,16
598,0.153,0.203,0.492,0.405,0.238,0.189,35
599,0.153,0.245,0.212,0.231,0.173,0.246,16
600,0.153,0.108,0.513,0.273,0.387,0.197,35
601,0.153,0.205,0.545,0.648,0.64,0.326,42
602,0.153,0.333,0.788,0.774,0.619,0.359,43
603,0.153,0.269,0.423,0.41,0.44,0.426,20
604,0.153,0.295,0.204,0.415,0.428,0.431,13
605,0.153,0.733,0.423,0.602,0.312,0.415,65
606,0.153,0.181,0.534,0.257,0.346,0.301,35
607,0.153,0.2,0.344,0.207,0.181,0.18,16
608,0.153,0.159,0.304,0.326,0.228,0.193,16
609,0.153,0.123,0.138,0.147,0.196,0.133,16
610,0.153,0.302,0.506,0.347,0.599,0.475,5
611,0.153,0.163,0.136,0.093,0.118,0.115,1
612,0.154,0.063,0.147,0.118,0.07,0.077,1
613,0.154,0.221,0.488,0.52,0.78,0.729,3
614,0.154,0.451,0.363,0.591,0.443,0.334,15
615,0.154,0.111,0.331,0.41,0.252,0.155,35
616,0.154,0.142,0.294,0.349,0.324,0.33,35
617,0.154,0.181,0.537,0.286,0.57,0.832,27
618,0.155,0.363,0.44,0.539,0.478,0.345,15
619,0.155,0.28,0.097,0.175,0.197,0.121,16
620,0.155,0.616,0.371,0.462,0.467,0.473,50
621,0.155,0.254,0.149,0.239,0.198,0.113,16
622,0.155,0.299,0.675,0.357,0.147,0.233,4
623,0.155,0.27,0.152,0.29,0.197,0.13,16
624,0.155,0.832,0.373,0.63,0.69,0.732,63
625,0.155,0.152,0.686,0.333,0.408,0.251,67
626,0.155,0.723,0.23,0.491,0.49,0.582,55
627,0.155,0.115,0.118,0.16,0.12,0.055,1
628,0.156,0.313,0.54,0.669,0.527,0.335,10
629,0.156,0.211,0.466,0.367,0.409,0.175,35
630,0.156,0.149,0.359,0.403,0.309,0.315,35
631,0.156,0.434,0.648,0.648,0.795,0.812,22
632,0.156,0.489,0.377,0.467,0.532,0.31,50
633,0.156,0.142,0.657,0.539,0.491,0.116,41
634,0.156,0.12,0.294,0.239,0.22,0.162,16
635,0.156,0.616,0.728,0.244,0.768,0.756,69
636,0.156,0.104,0.579,0.317,0.227,0.195,4
637,0.156,0.226,0.161,0.161,0.224,0.192,16
638,0.156,0.157,0.391,0.655,0.385,0.602,20
639,0.156,0.173,0.336,0.569,0.345,0.255,35
640,0.156,0.143,0.459,0.75,0.407,0.398,21
641,0.156,0.226,0.482,0.496,0.333,0.361,15
642,0.156,0.1,0.101,0.104,0.098,0.097,1
643,0.156,0.332,0.621,0.48,0.645,0.795,27
644,0.156,0.428,0.304,0.754,0.65,0.389,42
645,0.157,0.301,0.171,0.236,0.203,0.396,29
646,0.157,0.103,0.149,0.149,0.148,0.121,1
647,0.157,0.34,0.108,0.224,0.11,0.171,16
648,0.157,0.209,0.713,0.65,0.529,0.549,10
649,0.157,0.125,0.811,0.299,0.322,0.142,67
650,0.157,0.129,0.566,0.219,0.11,0.074,4
651,0.157,0.477,0.305,0.395,0.171,0.127,9
652,0.157,0.217,0.554,0.498,0.646,0.697,27
653,0.157,0.187,0.395,0.313,0.174,0.166,16
654,0.157,0.093,0.396,0.403,0.107,0.082,4
655,0.157,0.138,0.21,0.258,0.299,0.356,30
656,0.158,0.158,0.626,0.406,0.21,0.085,4
657,0.158,0.177,0.345,0.186,0.358,0.17,16
658,0.158,0.136,0.158,0.112,0.193,0.118,1
659,0.158,0.455,0.777,0.446,0.728,0.543,45
660,0.158,0.233,0.167,0.05,0.153,0.103,1
661,0.158,0.131,0.648,0.478,0.356,0.222,41
662,0.158,0.162,0.169,0.241,0.153,0.465,30
663,0.158,0.182,0.392,0.331,0.205,0.18,16
664,0.158,0.161,0.242,0.441,0.395,0.357,13
665,0.158,0.355,0.548,0.745,0.746,0.209,43
666,0.158,0.226,0.571,0.357,0.401,0.364,15
667,0.159,0.229,0.427,0.413,0.597,0.615,27
668,0.159,0.233,0.371,0.304,0.433,0.323,13
669,0.159,0.223,0.526,0.37,0.378,0.289,15
670,0.159,0.371,0.26,0.611,0.604,0.591,54
671,0.159,0.53,0.449,0.438,0.457,0.142,46
672,0.159,0.557,0.895,0.696,0.524,0.462,60
673,0.159,0.24,0.328,0.52,0.789,0.417,42
674,0.159,0.257,0.815,0.527,0.681,0.776,27
675,0.159,0.103,0.369,0.238,0.059,0.06,1
676,0.159,0.29,0.775,0.703,0.382,0.33,41
677,0.159,0.241,0.54,0.649,0.517,0.533,10
678,0.159,0.433,0.784,0.466,0.37,0.364,24
679,0.16,0.58,0.586,0.518,0.744,0.578,45
680,0.16,0.12,0.379,0.322,0.157,0.129,4
681,0.16,0.405,0.376,0.481,0.466,0.593,20
682,0.16,0.248,0.611,0.473,0.587,0.331,53
683,0.16,0.641,0.033,0.115,0.034,0.025,9
684,0.16,0.471,0.303,0.522,0.609,0.187,42
685,0.16,0.693,0.222,0.338,0.324,0.215,46
686,0.16,0.313,0.506,0.388,0.541,0.621,27
687,0.16,0.33,0.624,0.547,0.666,0.463,42
688,0.16,0.233,0.717,0.444,0.258,0.211,67
689,0.16,0.097,0.533,0.242,0.242,0.184,4
690,0.16,0.168,0.182,0.261,0.175,0.254,16
691,0.16,0.029,0.022,0.029,0.039,0.046,1
692,0.16,0.149,0.47,0.598,0.391,0.241,21
693,0.161,0.331,0.672,0.479,0.473,0.285,41
694,0.161,0.233,0.439,0.541,0.325,0.415,15
695,0.161,0.592,0.613,0.364,0.289,0.216,46
696,0.161,0.09,0.135,0.278,0.151,0.094,1
697,0.161,0.219,0.246,0.252,0.326,0.325,29
698,0.161,0.111,0.401,0.542,0.284,0.231,35
699,0.161,0.189,0.423,0.618,0.345,0.451,15
700,0.161,0.12,0.13,0.154,0.137,0.143,1
701,0.161,0.257,0.314,0.729,0.453,0.466,21
702,0.161,0.047,0.53,0.218,0.067,0.074,4
703,0.161,0.169,0.496,0.418,0.277,0.065,4
704,0.161,0.434,0.624,0.856,0.615,0.365,43
705,0.161,0.211,0.379,0.341,0.431,0.381,13
706,0.161,0.177,0.362,0.642,0.297,0.269,35
707,0.161,0.206,0.439,0.448,0.203,0.209,35
708,0.162,0.134,0.257,0.485,0.233,0.333,35
709,0.162,0.313,0.442,0.334,0.17,0.149,4
710,0.162,0.414,0.363,0.386,0.582,0.491,5
711,0.162,0.256,0.119,0.172,0.192,0.189,16
712,0.162,0.353,0.591,0.584,0.502,0.391,24
713,0.162,0.219,0.73,0.615,0.42,0.413,41
714,0.162,0.229,0.537,0.385,0.484,0.442,53
715,0.162,0.207,0.257,0.334,0.535,0.224,13
716,0.162,0.114,0.204,0.418,0.182,0.137,16
717,0.162,0.294,0.554,0.628,0.586,0.428,10
718,0.162,0.103,0.124,0.151,0.126,0.129,1
719,0.162,0.284,0.493,0.601,0.484,0.506,20
720,0.162,0.47,0.599,0.319,0.378,0.366,15
721,0.163,0.328,0.617,0.911,0.622,0.551,58
722,0.163,0.172,0.212,0.533,0.214,0.136,35
723,0.163,0.195,0.549,0.39,0.21,0.228,4
724,0.163,0.076,0.507,0.567,0.456,0.228,21
725,0.164,0.339,0.293,0.735,0.092,0.098,35
726,0.164,0.724,0.071,0.151,0.213,0.333,46
727,0.164,0.572,0.523,0.551,0.727,0.162,45
728,0.164,0.255,0.432,0.335,0.484,0.35,13
729,0.164,0.142,0.409,0.192,0.176,0.37,30
730,0.164,0.112,0.54,0.265,0.219,0.199,4
731,0.164,0.22,0.53,0.571,0.359,0.4,15
732,0.164,0.205,0.517,0.395,0.2,0.208,4
733,0.164,0.261,0.442,0.631,0.63,0.436,42
734,0.164,0.174,0.816,0.494,0.452,0.364,53
735,0.164,0.089,0.057,0.179,0.071,0.075,1
736,0.164,0.205,0.743,0.734,0.637,0.417,10
737,0.164,0.185,0.539,0.52,0.361,0.247,41
738,0.164,0.666,0.261,0.502,0.621,0.568,55
739,0.164,0.534,0.126,0.26,0.174,0.2,9
740,0.164,0.435,0.397,0.244,0.784,0.684,69
741,0.164,0.056,0.125,0.051,0.09,0.09,1
742,0.164,0.154,0.402,0.441,0.222,0.153,35
743,0.165,0.225,0.502,0.684,0.439,0.466,10
744,0.165,0.214,0.229,0.151,0.451,0.215,13
745,0.165,0.206,0.78,0.595,0.464,0.388,10
746,0.165,0.148,0.109,0.226,0.24,0.17,16
747,0.165,0.144,0.444,0.605,0.391,0.337,21
748,0.165,0.146,0.183,0.438,0.485,0.558,20
749,0.165,0.604,0.271,0.324,0.614,0.273,11
750,0.165,0.34,0.56,0.527,0.498,0.458,24
751,0.165,0.371,0.374,0.289,0.655,0.375,11
752,0.166,0.606,0.535,0.38,0.718,0.623,69
753,0.166,0.235,0.505,0.242,0.302,0.377,30
754,0.166,0.259,0.459,0.245,0.473,0.261,13
755,0.166,0.145,0.17,0.372,0.126,0.16,16
756,0.166,0.48,0.461,0.509,0.615,0.588,5
757,0.166,0.171,0.436,0.354,0.363,0.286,35
758,0.167,0.22,0.462,0.525,0.485,0.449,20
759,0.167,0.21,0.319,0.327,0.287,0.282,29
760,0.167,0.1,0.755,0.403,0.503,0.331,53
761,0.167,0.207,0.082,0.135,0.209,0.208,16
762,0.167,0.233,0.276,0.271,0.563,0.665,6
763,0.167,0.374,0.411,0.678,0.839,0.83,3
764,0.167,0.23,0.6,0.51,0.39,0.248,41
765,0.168,0.313,0.601,0.758,0.593,0.418,10
766,0.168,0.283,0.54,0.529,0.474,0.625,20
767,0.168,0.374,0.376,0.626,0.593,0.599,54
768,0.168,0.107,0.447,0.22,0.116,0.145,4
769,0.168,0.353,0.191,0.386,0.567,0.522,5
770,0.168,0.263,0.597,0.531,0.612,0.659,27
771,0.168,0.102,0.114,0.169,0.204,0.103,1
772,0.168,0.245,0.104,0.295,0.237,0.131,16
773,0.168,0.153,0.084,0.134,0.123,0.086,1
774,0.168,0.335,0.577,0.604,0.39,0.276,41
775,0.168,0.342,0.619,0.601,0.467,0.487,24
776,0.168,0.131,0.66,0.606,0.42,0.289,41
777,0.169,0.164,0.491,0.81,0.438,0.291,21
778,0.169,0.316,0.436,0.449,0.378,0.215,15
779,0.169,0.242,0.355,0.522,0.243,0.303,35
780,0.169,0.212,0.079,0.206,0.18,0.182,16
781,0.169,0.17,0.364,0.243,0.193,0.206,16
782,0.169,0.124,0.634,0.319,0.272,0.467,30
783,0.169,0.255,0.493,0.489,0.251,0.201,35
784,0.169,0.259,0.457,0.613,0.433,0.452,20
785,0.169,0.162,0.49,0.321,0.259,0.206,35
786,0.169,0.085,0.417,0.453,0.178,0.2,35
787,0.169,0.275,0.581,0.4,0.723,0.663,27
788,0.169,0.164,0.18,0.709,0.429,0.439,21
789,0.169,0.246,0.444,0.575,0.438,0.328,21
790,0.169,0.389,0.398,0.412,0.496,0.659,5
791,0.169,0.228,0.387,0.574,0.324,0.24,35
792,0.169,0.451,0.69,0.685,0.397,0.336,24
793,0.169,0.232,0.522,0.5,0.288,0.225,35
794,0.17,0.206,0.222,0.302,0.226,0.431,30
795,0.17,0.189,0.303,0.255,0.204,0.22,16
796,0.17,0.118,0.151,0.095,0.122,0.11,1
797,0.17,0.232,0.154,0.337,0.172,0.166,16
798,0.17,0.263,0.415,0.504,0.449,0.457,20
799,0.17,0.265,0.51,0.415,0.485,0.537,20
800,0.17,0.21,0.441,0.809,0.437,0.35,21
801,0.17,0.222,0.581,0.687,0.406,0.244,41
802,0.17,0.148,0.738,0.372,0.238,0.191,4
803,0.17,0.268,0.644,0.492,0.266,0.222,67
804,0.17,0.26,0.585,0.47,0.371,0.276,15
805,0.17,0.332,0.514,0.627,0.45,0.595,20
806,0.17,0.225,0.841,0.756,0.663,0.626,58
807,0.171,0.105,0.116,0.119,0.103,0.162,1
808,0.171,0.293,0.164,0.246,0.364,0.288,29
809,0.171,0.134,0.217,0.121,0.181,0.149,16
810,0.171,0.164,0.421,0.328,0.185,0.14,4
811,0.171,0.133,0.587,0.582,0.653,0.717,27
812,0.171,0.342,0.424,0.545,0.441,0.362,15
813,0.171,0.459,0.6,0.599,0.702,0.522,58
814,0.171,0.159,0.458,0.636,0.567,0.623,54
815,0.171,0.191,0.415,0.218,0.201,0.124,16
816,0.172,0.427,0.73,0.503,0.54,0.473,25
817,0.172,0.43,0.629,0.518,0.395,0.399,24
818,0.172,0.218,0.605,0.558,0.368,0.342,41
819,0.172,0.24,0.49,0.425,0.428,0.584,20
820,0.172,0.251,0.608,0.467,0.357,0.106,35
821,0.172,0.169,0.532,0.612,0.41,0.51,20
822,0.172,0.193,0.327,0.495,0.261,0.242,35
823,0.172,0.242,0.254,0.422,0.318,0.2,35
824,0.172,0.681,0.294,0.606,0.549,0.275,7
825,0.172,0.231,0.275,0.268,0.247,0.284,29
826,0.172,0.176,0.233,0.453,0.249,0.377,35
827,0.172,0.201,0.751,0.759,0.537,0.478,10
828,0.172,0.407,0.676,0.593,0.789,0.641,58
829,0.172,0.255,0.434,0.358,0.451,0.639,20
830,0.172,0.132,0.28,0.445,0.214,0.091,35
831,0.172,0.133,0.521,0.41,0.217,0.261,35
832,0.173,0.157,0.137,0.161,0.293,0.133,16
833,0.173,0.295,0.097,0.303,0.609,0.379,11
834,0.173,0.146,0.23,0.52,0.494,0.406,21
835,0.173,0.135,0.426,0.126,0.235,0.58,30
836,0.173,0.477,0.43,0.341,0.742,0.644,69
837,0.173,0.194,0.525,0.692,0.618,0.313,42
838,0.173,0.293,0.211,0.111,0.119,0.092,1
839,0.173,0.305,0.743,0.513,0.322,0.556,68
840,0.173,0.172,0.178,0.246,0.14,0.096,16
841,0.173,0.173,0.258,0.361,0.775,0.794,3
842,0.173,0.512,0.248,0.718,0.891,0.523,48
843,0.173,0.074,0.173,0.129,0.115,0.084,1
844,0.173,0.24,0.265,0.311,0.215,0.364,29
845,0.173,0.185,0.394,0.279,0.251,0.421,30
846,0.174,0.146,0.24,0.42,0.294,0.199,35
847,0.174,0.392,0.542,0.524,0.472,0.565,20
848,0.174,0.163,0.604,0.109,0.083,0.106,4
849,0.174,0.155,0.552,0.658,0.36,0.241,41
850,0.174,0.216,0.209,0.179,0.205,0.216,16
851,0.174,0.222,0.669,0.634,0.775,0.408,43
852,0.174,0.037,0.361,0.554,0.394,0.417,21
853,0.174,0.244,0.378,0.548,0.547,0.402,42
854,0.174,0.194,0.452,0.476,0.222,0.225,35
855,0.175,0.184,0.3,0.517,0.362,0.239,35
856,0.175,0.318,0.574,0.615,0.493,0.586,25
857,0.175,0.305,0.393,0.401,0.337,0.283,15
858,0.175,0.296,0.375,0.686,0.617,0.647,54
859,0.175,0.675,0.641,0.601,0.619,0.73,66
860,0.175,0.199,0.639,0.469,0.239,0.262,67
861,0.175,0.215,0.556,0.573,0.453,0.278,41
862,0.175,0.384,0.256,0.074,0.145,0.121,9
863,0.175,0.273,0.711,0.538,0.394,0.276,41
864,0.175,0.415,0.347,0.282,0.397,0.312,28
865,0.175,0.375,0.544,0.617,0.899,0.878,3
866,0.175,0.248,0.083,0.126,0.148,0.22,16
867,0.175,0.201,0.49,0.182,0.506,0.505,6
868,0.176,0.211,0.519,0.64,0.638,0.468,42
869,0.176,0.14,0.496,0.315,0.294,0.167,35
870,0.176,0.512,0.257,0.632,0.572,0.554,5
871,0.176,0.375,0.496,0.641,0.35,0.452,24
872,0.176,0.317,0.243,0.715,0.602,0.604,54
873,0.176,0.066,0.694,0.468,0.22,0.099,4
874,0.176,0.391,0.489,0.531,0.339,0.197,15
875,0.176,0.254,0.142,0.162,0.178,0.208,16
876,0.176,0.239,0.529,0.325,0.295,0.265,35
877,0.176,0.47,0.522,0.513,0.487,0.329,24
878,0.176,0.229,0.32,0.518,0.363,0.378,15
879,0.176,0.128,0.109,0.102,0.07,0.093,1
880,0.176,0.126,0.214,0.389,0.184,0.087,16
881,0.176,0.538,0.156,0.385,0.672,0.596,69
882,0.176,0.205,0.178,0.134,0.154,0.223,16
883,0.176,0.245,0.258,0.512,0.406,0.648,20
884,0.176,0.248,0.301,0.363,0.342,0.448,30
885,0.176,0.263,0.2,0.254,0.213,0.223,16
886,0.176,0.303,0.587,0.66,0.517,0.438,10
887,0.177,0.173,0.4,0.537,0.415,0.444,20
888,0.177,0.323,0.93,0.33,0.59,0.692,27
889,0.177,0.423,0.486,0.55,0.531,0.318,24
890,0.177,0.11,0.181,0.137,0.135,0.178,1
891,0.177,0.103,0.741,0.159,0.458,0.322,53
892,0.177,0.172,0.122,0.138,0.05,0.09,1
893,0.177,0.077,0.672,0.337,0.351,0.218,67
894,0.177,0.215,0.216,0.359,0.27,0.193,16
895,0.177,0.564,0.293,0.574,0.628,0.666,66
896,0.177,0.206,0.579,0.589,0.287,0.307,41
897,0.178,0.225,0.408,0.355,0.236,0.411,30
898,0.178,0.284,0.403,0.575,0.723,0.355,42
899,0.178,0.514,0.567,0.533,0.401,0.393,24
900,0.178,0.277,0.525,0.365,0.591,0.556,27
901,0.178,0.136,0.428,0.317,0.167,0.105,4
902,0.178,0.167,0.575,0.39,0.16,0.187,4
903,0.178,0.142,0.302,0.282,0.172,0.144,16
904,0.178,0.212,0.219,0.716,0.539,0.228,21
905,0.178,0.186,0.208,0.213,0.164,0.144,16
906,0.178,0.167,0.511,0.45,0.214,0.181,35
907,0.178,0.163,0.461,0.596,0.461,0.56,20
908,0.178,0.149,0.167,0.183,0.175,0.119,16
909,0.178,0.244,0.746,0.468,0.625,0.776,27
910,0.178,0.162,0.412,0.395,0.563,0.569,27
911,0.178,0.359,0.403,0.22,0.545,0.45,6
912,0.179,0.203,0.207,0.233,0.445,0.632,6
913,0.179,0.511,0.159,0.234,0.427,0.541,18
914,0.179,0.375,0.602,0.522,0.298,0.337,15
915,0.179,0.135,0.188,0.129,0.139,0.332,16
916,0.179,0.12,0.639,0.374,0.446,0.485,53
917,0.179,0.254,0.283,0.345,0.267,0.442,30
918,0.179,0.762,0.514,0.376,0.682,0.325,45
919,0.179,0.121,0.327,0.573,0.253,0.328,35
920,0.179,0.141,0.632,0.349,0.211,0.152,4
921,0.179,0.293,0.431,0.421,0.28,0.3,35
922,0.179,0.233,0.359,0.379,0.344,0.395,15
923,0.179,0.2,0.478,0.346,0.185,0.127,4
924,0.18,0.092,0.096,0.2,0.124,0.068,1
925,0.18,0.281,0.382,0.593,0.434,0.513,20
926,0.18,0.307,0.379,0.368,0.423,0.46,20
927,0.18,0.179,0.612,0.278,0.546,0.432,53
928,0.18,0.405,0.168,0.227,0.459,0.506,6
929,0.18,0.44,0.474,0.486,0.754,0.954,3
930,0.18,0.265,0.511,0.482,0.345,0.367,15
931,0.18,0.135,0.527,0.352,0.144,0.09,4
932,0.18,0.159,0.478,0.338,0.182,0.132,4
933,0.18,0.58,0.795,0.151,0.098,0.351,34
934,0.18,0.164,0.173,0.183,0.184,0.166,16
935,0.18,0.218,0.569,0.408,0.139,0.189,4
936,0.18,0.11,0.532,0.568,0.329,0.241,35
937,0.18,0.202,0.27,0.343,0.377,0.25,13
938,0.18,0.322,0.368,0.469,0.608,0.403,42
939,0.181,0.112,0.768,0.317,0.267,0.139,4
940,0.181,0.254,0.574,0.542,0.553,0.512,10
941,0.181,0.26,0.244,0.25,0.299,0.359,29
942,0.181,0.53,0.115,0.441,0.365,0.408,46
943,0.181,0.072,0.16,0.489,0.063,0.114,16
944,0.181,0.223,0.547,0.448,0.391,0.515,20
945,0.181,0.206,0.484,0.583,0.293,0.221,35
946,0.181,0.157,0.481,0.386,0.436,0.299,13
947,0.181,0.145,0.284,0.183,0.147,0.109,16
948,0.181,0.295,0.523,0.243,0.384,0.361,15
949,0.181,0.321,0.475,0.576,0.23,0.364,15
950,0.181,0.158,0.19,0.145,0.153,0.146,16
951,0.181,0.567,0.452,0.278,0.457,0.097,46
952,0.181,0.438,0.421,0.379,0.52,0.477,5
953,0.181,0.591,0.288,0.538,0.401,0.465,50
954,0.181,0.168,0.42,0.228,0.213,0.262,16
955,0.182,0.233,0.501,0.346,0.217,0.218,4
956,0.182,0.256,0.476,0.303,0.402,0.435,15
957,0.182,0.481,0.316,0.316,0.618,0.363,11
958,0.182,0.272,0.649,0.37,0.299,0.336,67
959,0.182,0.239,0.372,0.441,0.784,0.885,3
960,0.182,0.179,0.304,0.485,0.341,0.274,35
961,0.182,0.242,0.435,0.475,0.502,0.466,20
962,0.182,0.257,0.653,0.597,0.303,0.307,41
963,0.182,0.125,0.218,0.288,0.119,0.102,16
964,0.182,0.171,0.466,0.363,0.306,0.249,35
965,0.182,0.271,0.624,0.596,0.341,0.234,41
966,0.182,0.409,0.126,0.163,0.151,0.109,9
967,0.182,0.286,0.695,0.557,0.657,0.735,27
968,0.182,0.24,0.231,0.403,0.345,0.191,35
969,0.182,0.206,0.199,0.182,0.474,0.405,13
970,0.183,0.217,0.326,0.406,0.874,0.759,3
971,0.183,0.13,0.175,0.146,0.143,0.158,1
972,0.183,0.223,0.565,0.404,0.491,0.236,53
973,0.183,0.353,0.468,0.674,0.65,0.583,54
974,0.183,0.147,0.242,0.418,0.32,0.312,35
975,0.183,0.219,0.515,0.485,0.269,0.287,35
976,0.183,0.627,0.606,0.728,0.552,0.456,33
977,0.183,0.355,0.336,0.235,0.304,0.419,29
978,0.183,0.175,0.626,0.252,0.206,0.214,4
979,0.183,0.09,0.366,0.168,0.123,0.121,1
980,0.183,0.324,0.411,0.547,0.795,0.264,42
981,0.183,0.255,0.211,0.24,0.266,0.233,16
982,0.183,0.295,0.459,0.567,0.598,0.473,42
983,0.183,0.521,0.58,0.618,0.709,0.508,45
984,0.183,0.359,0.592,0.563,0.42,0.305,15
985,0.183,0.075,0.149,0.351,0.335,0.128,16
986,0.184,0.189,0.231,0.248,0.176,0.201,16
987,0.184,0.144,0.289,0.184,0.122,0.132,16
988,0.184,0.276,0.518,0.633,0.624,0.729,54
989,0.184,0.273,0.239,0.242,0.201,0.265,16
990,0.184,0.379,0.56,0.559,0.525,0.391,24
991,0.184,0.095,0.582,0.477,0.28,0.201,35
992,0.184,0.174,0.216,0.526,0.467,0.336,21
993,0.184,0.217,0.394,0.361,0.283,0.292,35
994,0.184,0.222,0.291,0.527,0.3,0.363,35
995,0.184,0.174,0.468,0.461,0.491,0.54,20
996,0.184,0.174,0.412,0.496,0.354,0.21,35
997,0.184,0.081,0.785,0.337,0.242,0.167,4
